name,timestamp_prev,timestamp_curr,lon_prev,lat_prev,lon_curr,lat_curr,delta_lon,delta_lat,event,count,area_km2,tb_min,tb_mean,tb_std,touching_left,touching_right,touching_up,touching_down,dt_horas,timestamp_next,target_delta_lon,target_delta_lat,dt_target_horas,log_area_km2,log_count
003620ea-1207-4f36-8af3-2215c5b2dc9c,2011-06-15 00:00:00,2011-06-15 01:00:00,-64.84705257567714,2.3368187758757797,-64.89120432806007,2.195354757905457,-0.044151752382930454,-0.1414640179703226,CONTINUITY,317,5072.0,204.4099884033203,217.65977425078864,6.191083173631048,False,False,False,False,1.0,2011-06-15 02:00:00,-0.013466436414148575,-0.12823192317300292,1.0,8.53168763756669,5.762051382780177
00b508b8-7301-4aca-99ff-79a8fd54970c,2011-06-27 14:00:00,2011-06-27 15:00:00,-63.87144906876862,-3.131323670958472,-64.03028604122282,-3.0985493459142766,-0.15883697245420336,0.03277432504419542,CONTINUITY,431,6896.0,209.75999450683594,219.17785672853827,4.998803394687497,False,False,False,False,1.0,2011-06-27 16:00:00,-0.10858457100859198,0.08082478223522838,1.0,8.83884181343129,6.068425588244111
00b508b8-7301-4aca-99ff-79a8fd54970c,2011-06-27 15:00:00,2011-06-27 16:00:00,-64.03028604122282,-3.0985493459142766,-64.13887061223141,-3.017724563679048,-0.10858457100859198,0.08082478223522838,CONTINUITY,452,7232.0,211.2899932861328,222.07726078539824,4.2104707828786205,False,False,False,False,1.0,2011-06-27 17:00:00,-0.20905968124502294,-0.0027620383265425374,1.0,8.886409166849282,6.115892125483034
013801a3-ec6d-4a3a-8b30-b98960deeebc,2011-06-27 04:00:00,2011-06-27 05:00:00,-61.40163990614041,-2.9537243911104065,-61.52621249565358,-2.948685401227772,-0.1245725895131713,0.005038989882634404,CONTINUITY,531,8496.0,200.76998901367188,208.50114759887006,7.118032482063624,False,False,False,False,1.0,2011-06-27 06:00:00,-0.07911272530144231,0.029358281585349033,1.0,9.047468439003541,6.2766434893416445
013801a3-ec6d-4a3a-8b30-b98960deeebc,2011-06-27 05:00:00,2011-06-27 06:00:00,-61.52621249565358,-2.948685401227772,-61.605325220955024,-2.919327119642423,-0.07911272530144231,0.029358281585349033,CONTINUITY,589,9424.0,204.83999633789062,214.45203735144312,6.90644522807611,False,False,False,False,1.0,2011-06-27 07:00:00,-0.06245351002073107,-0.10985798097124899,1.0,9.151121012316212,6.380122536899765
034fabe7-c1be-4332-a1cc-8ed830bae0b9,2011-06-07 00:00:00,2011-06-07 01:00:00,-57.93930303892623,4.150674950180421,-58.18052007158128,3.8656921734169694,-0.2412170326550509,-0.28498277676345163,CONTINUITY,3044,48704.0,197.30999755859375,212.42086892247045,6.845590934160013,False,False,False,False,1.0,2011-06-07 02:00:00,-0.2419369879632498,-0.23122056748186326,1.0,10.793536973205056,8.021256180143997
034fabe7-c1be-4332-a1cc-8ed830bae0b9,2011-06-07 01:00:00,2011-06-07 02:00:00,-58.18052007158128,3.8656921734169694,-58.42245705954453,3.634471605935106,-0.2419369879632498,-0.23122056748186326,CONTINUITY,3681,58896.0,192.95999145507812,215.08000543330616,7.744895315373464,False,False,False,False,1.0,2011-06-07 03:00:00,-0.15106364808116268,-0.257852300790816,1.0,10.983545434556431,8.211211361793023
034fabe7-c1be-4332-a1cc-8ed830bae0b9,2011-06-07 02:00:00,2011-06-07 03:00:00,-58.42245705954453,3.634471605935106,-58.57352070762569,3.37661930514429,-0.15106364808116268,-0.257852300790816,CONTINUITY,3691,59056.0,199.80999755859375,215.56288946085073,8.60457062772644,False,False,False,False,1.0,2011-06-07 04:00:00,-0.08680919906191775,-0.4159521217965634,1.0,10.986258358206882,8.213923595622743
034fabe7-c1be-4332-a1cc-8ed830bae0b9,2011-06-07 03:00:00,2011-06-07 04:00:00,-58.57352070762569,3.37661930514429,-58.66032990668761,2.9606671833477267,-0.08680919906191775,-0.4159521217965634,CONTINUITY,3349,53584.0,203.0800018310547,216.15859211704986,6.5063066305968675,False,False,False,False,1.0,2011-06-07 05:00:00,-0.24410200952746663,-0.23810659609740004,1.0,10.889024457147098,8.116715624819111
034fabe7-c1be-4332-a1cc-8ed830bae0b9,2011-06-07 04:00:00,2011-06-07 05:00:00,-58.66032990668761,2.9606671833477267,-58.904431916215074,2.7225605872503267,-0.24410200952746663,-0.23810659609740004,CONTINUITY,2811,44976.0,198.8300018310547,218.97356367840626,6.1497080924571055,False,False,False,False,1.0,2011-06-07 06:00:00,-0.16898476740521318,-0.21539696196303515,1.0,10.713906526979539,7.941651252930556
034fabe7-c1be-4332-a1cc-8ed830bae0b9,2011-06-07 05:00:00,2011-06-07 06:00:00,-58.904431916215074,2.7225605872503267,-59.07341668362029,2.5071636252872915,-0.16898476740521318,-0.21539696196303515,CONTINUITY,2010,32160.0,206.5399932861328,219.41592039800994,6.0722322335518735,False,False,False,False,1.0,2011-06-07 07:00:00,-0.028473184409911312,-0.02699490802814175,1.0,10.378509817336841,7.606387389772652
034fabe7-c1be-4332-a1cc-8ed830bae0b9,2011-06-07 06:00:00,2011-06-07 07:00:00,-59.07341668362029,2.5071636252872915,-59.1018898680302,2.48016871725915,-0.028473184409911312,-0.02699490802814175,CONTINUITY,1417,22672.0,211.6599884033203,221.06638143966126,5.101148301439158,False,False,False,False,1.0,2011-06-07 08:00:00,-0.2788769907459141,-0.11236900608785216,1.0,10.028930068226643,7.257002707092073
036851c3-b76c-4095-a605-70953fabc550,2011-06-15 02:00:00,2011-06-15 03:00:00,-50.354805205489285,-2.7570982070685686,-50.701692960643605,-2.4903865389963213,-0.34688775515432013,0.2667116680722472,CONTINUITY,447,7152.0,208.97000122070312,219.16680648769574,5.2701746944818115,False,False,False,False,1.0,2011-06-15 04:00:00,0.2467604348655712,0.07121022854809667,1.0,8.875287128108384,6.104793232414985
04196123-1c25-4038-b780-2a9df0f9bb98,2011-06-07 00:00:00,2011-06-07 01:00:00,-63.15282505683274,-0.6958495516225447,-63.454370797310276,-1.1472091377813884,-0.30154574047753613,-0.45135958615884375,CONTINUITY,1041,16656.0,213.84999084472656,221.18921109510086,4.174614384079846,False,False,False,False,1.0,2011-06-07 02:00:00,-0.3066012681476238,-0.3698827635524544,1.0,9.720585827477107,6.948897222313312
042e43e3-1240-4c34-8a2d-c4797095e73c,2011-06-26 10:00:00,2011-06-26 11:00:00,-65.77539246822091,-1.4116551376721653,-66.05502757059104,-1.5182878346143658,-0.279635102370122,-0.10663269694220046,CONTINUITY,469,7504.0,203.0800018310547,214.60797574626866,7.600210750233539,False,False,False,False,1.0,2011-06-26 12:00:00,-0.7365777285778563,-0.018695099345211963,1.0,8.923324744067562,6.152732694704104
042e43e3-1240-4c34-8a2d-c4797095e73c,2011-06-26 11:00:00,2011-06-26 12:00:00,-66.05502757059104,-1.5182878346143658,-66.79160529916889,-1.5369829339595777,-0.7365777285778563,-0.018695099345211963,CONTINUITY,997,15952.0,204.83999633789062,218.60326291374122,6.50040370341512,False,False,False,False,1.0,2011-06-26 13:00:00,-0.2332737023924949,-0.12405893896570164,1.0,9.677402178300998,6.905753276311464
04512d9d-a053-49c6-a9ba-e6e9852b40f5,2011-06-08 13:00:00,2011-06-08 14:00:00,-71.89402296690957,0.8713669517692231,-72.46362187997882,0.558022976319951,-0.5695989130692425,-0.31334397544927206,CONTINUITY,406,6496.0,212.76998901367188,223.92699353448276,3.428320345589189,False,False,False,False,1.0,2011-06-08 15:00:00,-0.3073932623485405,-0.22110670110580044,1.0,8.77909581088053,6.008813185442595
04512d9d-a053-49c6-a9ba-e6e9852b40f5,2011-06-08 14:00:00,2011-06-08 15:00:00,-72.46362187997882,0.558022976319951,-72.77101514232736,0.3369162752141506,-0.3073932623485405,-0.22110670110580044,CONTINUITY,282,4512.0,218.62998962402344,226.11185449911346,2.707431156117769,False,False,False,False,1.0,2011-06-08 16:00:00,-0.4409743936770383,-0.36339741312385626,1.0,8.414717399827001,5.645446897643238
04a2c72d-b02f-4b09-8db3-a33869427714,2011-06-12 04:00:00,2011-06-12 05:00:00,-58.72962337125911,-3.819117332883567,-59.19489223963219,-3.7508608881105543,-0.4652688683730801,0.06825644477301251,CONTINUITY,428,6848.0,211.6599884033203,219.55706045560748,4.463087212489676,False,False,False,False,1.0,2011-06-12 06:00:00,0.26202471949835626,-0.09424082928004518,1.0,8.831857935197906,6.061456918928017
04a2c72d-b02f-4b09-8db3-a33869427714,2011-06-12 05:00:00,2011-06-12 06:00:00,-59.19489223963219,-3.7508608881105543,-58.93286752013383,-3.8451017173905995,0.26202471949835626,-0.09424082928004518,CONTINUITY,631,10096.0,212.39999389648438,222.92977416798732,3.7108808577873913,False,False,False,False,1.0,2011-06-12 07:00:00,0.5692234670318825,-0.30711987866327606,1.0,9.219993629004321,6.448889394146858
04a2c72d-b02f-4b09-8db3-a33869427714,2011-06-12 06:00:00,2011-06-12 07:00:00,-58.93286752013383,-3.8451017173905995,-58.36364405310195,-4.1522215960538755,0.5692234670318825,-0.30711987866327606,CONTINUITY,586,9376.0,205.6999969482422,223.66267598122866,3.8428804532072616,False,False,False,False,1.0,2011-06-12 08:00:00,-0.010015001597963646,0.009446321441866523,1.0,9.146015161419625,6.375024819828097
061d9a80-daed-4542-b6cf-d493861b71c4,2011-06-12 00:00:00,2011-06-12 01:00:00,-68.22662267469673,-1.6042761840851283,-68.16737118759241,-1.824276587467831,0.05925148710431927,-0.22000040338270277,CONTINUITY,496,7936.0,202.62998962402344,217.22158518145162,6.668755647851613,False,False,False,False,1.0,2011-06-12 02:00:00,-0.23668282220077685,-0.09402946142349178,1.0,8.979290649090876,6.208590026096629
061d9a80-daed-4542-b6cf-d493861b71c4,2011-06-12 01:00:00,2011-06-12 02:00:00,-68.16737118759241,-1.824276587467831,-68.40405400979319,-1.9183060488913228,-0.23668282220077685,-0.09402946142349178,CONTINUITY,908,14528.0,198.8300018310547,215.4818970264317,6.913106471533581,False,False,False,False,1.0,2011-06-12 03:00:00,-0.24039390455878618,0.031349709592495945,1.0,9.583901931071338,6.812345094177479
061d9a80-daed-4542-b6cf-d493861b71c4,2011-06-12 02:00:00,2011-06-12 03:00:00,-68.40405400979319,-1.9183060488913228,-68.64444791435197,-1.886956339298827,-0.24039390455878618,0.031349709592495945,CONTINUITY,1238,19808.0,197.8199920654297,213.51027362681745,8.028054970277703,False,False,False,False,1.0,2011-06-12 04:00:00,-0.28285485309950786,0.07883335482116216,1.0,9.893891658862682,7.122059881629142
061d9a80-daed-4542-b6cf-d493861b71c4,2011-06-12 03:00:00,2011-06-12 04:00:00,-68.64444791435197,-1.886956339298827,-68.92730276745148,-1.8081229844776647,-0.28285485309950786,0.07883335482116216,CONTINUITY,1566,25056.0,194.08999633789062,213.26442768199234,8.08205542338421,False,False,False,False,1.0,2011-06-12 05:00:00,-0.45720732401221653,0.17525961327311612,1.0,10.128908508594378,7.356918242356021
061d9a80-daed-4542-b6cf-d493861b71c4,2011-06-12 04:00:00,2011-06-12 05:00:00,-68.92730276745148,-1.8081229844776647,-69.3845100914637,-1.6328633712045486,-0.45720732401221653,0.17525961327311612,CONTINUITY,2246,35936.0,199.3199920654297,213.9633515138023,7.630876983227116,False,False,False,False,1.0,2011-06-12 06:00:00,-0.18287364259295202,0.029466060826310647,1.0,10.489522684399441,7.717351272185329
061d9a80-daed-4542-b6cf-d493861b71c4,2011-06-12 05:00:00,2011-06-12 06:00:00,-69.3845100914637,-1.6328633712045486,-69.56738373405665,-1.603397310378238,-0.18287364259295202,0.029466060826310647,CONTINUITY,2382,38112.0,196.7899932861328,215.34998163308146,7.341063344488107,False,False,False,False,1.0,2011-06-12 07:00:00,-0.2797280591055369,0.014768869678114527,1.0,10.548310710265884,7.776115477098742
061d9a80-daed-4542-b6cf-d493861b71c4,2011-06-12 06:00:00,2011-06-12 07:00:00,-69.56738373405665,-1.603397310378238,-69.84711179316218,-1.5886284407001234,-0.2797280591055369,0.014768869678114527,CONTINUITY,2248,35968.0,202.62998962402344,217.36968972419928,5.576907623698305,False,False,False,False,1.0,2011-06-12 08:00:00,-0.2873764078111094,0.10770212146372593,1.0,10.490412735357983,7.718240951959316
061d9a80-daed-4542-b6cf-d493861b71c4,2011-06-12 07:00:00,2011-06-12 08:00:00,-69.84711179316218,-1.5886284407001234,-70.1344882009733,-1.4809263192363975,-0.2873764078111094,0.10770212146372593,CONTINUITY,2017,32272.0,208.17999267578125,220.65908527516112,5.804356605937406,False,False,False,False,1.0,2011-06-12 09:00:00,-0.5031461777781772,0.17615396037617037,1.0,10.3819862463277,7.609862200913554
061d9a80-daed-4542-b6cf-d493861b71c4,2011-06-12 08:00:00,2011-06-12 09:00:00,-70.1344882009733,-1.4809263192363975,-70.63763437875147,-1.3047723588602271,-0.5031461777781772,0.17615396037617037,CONTINUITY,1473,23568.0,208.17999267578125,221.49590546503734,5.203043705711742,False,False,False,False,1.0,2011-06-12 10:00:00,-0.31551155752012505,0.05173753584891316,1.0,10.067687568216387,7.295735072749282
061d9a80-daed-4542-b6cf-d493861b71c4,2011-06-12 09:00:00,2011-06-12 10:00:00,-70.63763437875147,-1.3047723588602271,-70.9531459362716,-1.253034823011314,-0.31551155752012505,0.05173753584891316,CONTINUITY,1033,16528.0,209.75999450683594,221.70503085672797,4.941227328803225,False,False,False,False,1.0,2011-06-12 11:00:00,-0.3093280231156825,0.23362124392210704,1.0,9.712871692917354,6.9411900550683745
