name,timestamp_prev,timestamp_curr,lon_prev,lat_prev,lon_curr,lat_curr,delta_lon,delta_lat,event,count,area_km2,tb_min,tb_mean,tb_std,touching_left,touching_right,touching_up,touching_down,dt_horas
27191639-7358-4e27-9ca7-ccefe5b3ad3b,2011-06-07 00:00:00,2011-06-07 01:00:00,-62.27382037896172,4.885771794628159,-62.49802545484013,4.814060999081027,-0.22420507587840888,-0.07171079554713167,CONTINUITY,1070,17120.0,213.84999084472656,224.03694509345794,4.139003545454484,False,False,True,False,1.0
034fabe7-c1be-4332-a1cc-8ed830bae0b9,2011-06-07 00:00:00,2011-06-07 01:00:00,-57.93930303892623,4.150674950180421,-58.18052007158128,3.8656921734169694,-0.2412170326550509,-0.28498277676345163,CONTINUITY,3044,48704.0,197.30999755859375,212.42086892247045,6.845590934160013,False,False,False,False,1.0
a69ebd19-fa75-40ae-9ad8-31f43bb2a78d,2011-06-07 00:00:00,2011-06-07 01:00:00,-66.36723834515216,-0.3724232550162915,-66.61082366031911,-0.448598185099642,-0.24358531516695336,-0.07617493008335052,CONTINUITY,735,11760.0,208.97000122070312,221.2435799319728,4.66954789278299,False,False,False,False,1.0
04196123-1c25-4038-b780-2a9df0f9bb98,2011-06-07 00:00:00,2011-06-07 01:00:00,-63.15282505683274,-0.6958495516225447,-63.454370797310276,-1.1472091377813884,-0.30154574047753613,-0.45135958615884375,CONTINUITY,1041,16656.0,213.84999084472656,221.18921109510086,4.174614384079846,False,False,False,False,1.0
17a63fd4-5275-490c-849e-2205ce47299b,2011-06-07 00:00:00,2011-06-07 01:00:00,-51.80810143482071,-1.5581899239981345,-51.89915486682535,-1.5276817243751426,-0.09105343200463523,0.030508199622991894,CONTINUITY,445,7120.0,217.30999755859375,226.46976825842697,2.795847276005965,False,False,False,False,1.0
093559f4-4efc-442d-91d1-758835ddc39e,2011-06-07 00:00:00,2011-06-07 01:00:00,-55.87279815305775,-1.8760147842472312,-56.06892224679624,-2.0299617200159688,-0.19612409373849005,-0.15394693576873753,CONTINUITY,790,12640.0,215.9499969482422,224.10138449367088,3.1918976811117674,False,False,False,False,1.0
05ff0172-4fd3-4c56-8532-cea2f227a303,2011-06-07 00:00:00,2011-06-07 01:00:00,-45.976235169985394,-2.8304812113864455,-46.26513361248923,-2.8921415812015923,-0.2888984425038359,-0.061660369815146776,CONTINUITY,269,4304.0,214.9199981689453,222.7828183085502,4.542187215926053,False,False,False,False,1.0
49032d34-e935-4f4d-8a47-c538dc5d3293,2011-06-07 00:00:00,2011-06-07 01:00:00,-47.101106167714406,-3.064886241577972,-47.269058378592526,-3.025675386748142,-0.16795221087811996,0.03921085482982978,CONTINUITY,269,4304.0,215.9499969482422,222.00200394981414,3.688771045709273,False,False,False,False,1.0
120e6d5a-21e3-4ea1-82ee-e294fd461359,2011-06-07 00:00:00,2011-06-07 01:00:00,-48.44169065787143,-2.4664081353662426,-48.796719965363344,-2.529490354739925,-0.3550293074919111,-0.06308221937368241,CONTINUITY,1660,26560.0,194.08999633789062,215.11114457831326,8.80080521156276,False,False,False,False,1.0
27191639-7358-4e27-9ca7-ccefe5b3ad3b,2011-06-07 01:00:00,2011-06-07 02:00:00,-62.49802545484013,4.814060999081027,-62.644136113836666,4.684229365960649,-0.14611065899653397,-0.1298316331203786,CONTINUITY,269,4304.0,220.86000061035156,226.60167867100373,2.03057886145651,False,False,False,False,1.0
034fabe7-c1be-4332-a1cc-8ed830bae0b9,2011-06-07 01:00:00,2011-06-07 02:00:00,-58.18052007158128,3.8656921734169694,-58.42245705954453,3.634471605935106,-0.2419369879632498,-0.23122056748186326,CONTINUITY,3681,58896.0,192.95999145507812,215.08000543330616,7.744895315373464,False,False,False,False,1.0
a69ebd19-fa75-40ae-9ad8-31f43bb2a78d,2011-06-07 01:00:00,2011-06-07 02:00:00,-66.61082366031911,-0.448598185099642,-66.87991192834508,-0.5015751266949725,-0.26908826802596764,-0.05297694159533051,CONTINUITY,596,9536.0,211.6599884033203,224.24845322986576,4.180287428948187,False,False,False,False,1.0
093559f4-4efc-442d-91d1-758835ddc39e,2011-06-07 01:00:00,2011-06-07 02:00:00,-56.06892224679624,-2.0299617200159688,-56.44301803662399,-1.8150723562152145,-0.3740957898277486,0.2148893638007543,CONTINUITY,225,3600.0,220.5399932861328,225.33848958333334,2.190008650560345,False,False,False,False,1.0
