modelo,mae_lon,rmse_lon,r2_lon,mae_lat,rmse_lat,r2_lat,mae_medio,rmse_medio
MLP final,0.13788450314086997,0.18789073432768177,0.08635529951219789,0.09838705181884068,0.13844196456385144,0.2603736700451852,0.11813577747985532,0.1631663494457666
Baseline persistência,0.1431413426858153,0.20612957836646692,-0.09963167638344794,0.11292576274825492,0.15059785814754967,0.12478561599829863,0.1280335527170351,0.1783637182570083
