modelo,MAE_delta_lon,MAE_delta_lat,RMSE_delta_lon,RMSE_delta_lat,R2_delta_lon,R2_delta_lat
MLP final,0.13490875673539107,0.0982988893435445,0.18609374706981532,0.1375539873183943,0.10374792682119205,0.2698312801363202
Baseline persistência,0.1431413426858153,0.11292576274825492,0.20612957836646692,0.15059785814754967,-0.09963167638344794,0.12478561599829863
