name,timestamp_prev,timestamp_curr,lon_prev,lat_prev,lon_curr,lat_curr,delta_lon,delta_lat,event,count,area_km2,tb_min,tb_mean,tb_std,touching_left,touching_right,touching_up,touching_down,dt_horas,timestamp_next,target_delta_lon,target_delta_lat,dt_target_horas,log_area_km2,log_count,pred_delta_lon,pred_delta_lat,obs_delta_lon,obs_delta_lat,pred_next_lon,pred_next_lat,obs_next_lon,obs_next_lat,erro_delta_lon,erro_delta_lat,abs_erro_delta_lon,abs_erro_delta_lat
0986c625-d8e4-46d4-9f76-bceea7410f4a,2011-06-28 00:00:00,2011-06-28 01:00:00,-60.53753614209003,-3.6315128324056896,-60.17884349421829,-4.059392893294812,0.3586926478717416,-0.4278800608891226,CONTINUITY,603,9648.0,205.26998901367188,217.6499274461028,6.517303028989799,False,False,False,False,1.0,2011-06-28 02:00:00,0.0327378544850276,-0.0424354879120292,1.0,9.174609562020384,6.403574197934815,0.043191805,-0.15021408,0.0327378544850276,-0.0424354879120292,-60.13565168873638,-4.2096069693369875,-60.146105639733264,-4.1018283812068415,-0.010453950996883107,0.1077785881301461,0.010453950996883107,0.1077785881301461
0986c625-d8e4-46d4-9f76-bceea7410f4a,2011-06-28 01:00:00,2011-06-28 02:00:00,-60.17884349421829,-4.059392893294812,-60.146105639733264,-4.1018283812068415,0.0327378544850276,-0.0424354879120292,CONTINUITY,593,9488.0,205.26998901367188,216.7429120994941,6.228127878375608,False,False,False,False,1.0,2011-06-28 03:00:00,0.0031389721751367,-0.0193480579757618,1.0,9.15788851197376,6.386879319362645,-0.09014429,-0.015839774,0.0031389721751367,-0.0193480579757618,-60.23624993125338,-4.117668155368419,-60.14296666755813,-4.121176439182603,0.09328326369525541,-0.003508283814184575,0.09328326369525541,0.003508283814184575
0986c625-d8e4-46d4-9f76-bceea7410f4a,2011-06-28 02:00:00,2011-06-28 03:00:00,-60.146105639733264,-4.1018283812068415,-60.14296666755813,-4.121176439182603,0.0031389721751367,-0.0193480579757618,CONTINUITY,695,11120.0,208.5800018310547,218.8680305755396,5.42248058833235,False,False,False,False,1.0,2011-06-28 04:00:00,0.0439667199168738,0.0805764757657385,1.0,9.31659049181884,6.54534966033442,-0.121123426,0.0102936495,0.0439667199168738,0.0805764757657385,-60.264090093220645,-4.110882789673054,-60.09899994764125,-4.040599963416865,0.16509014557939133,0.07028282625618935,0.16509014557939133,0.07028282625618935
0986c625-d8e4-46d4-9f76-bceea7410f4a,2011-06-28 03:00:00,2011-06-28 04:00:00,-60.14296666755813,-4.121176439182603,-60.09899994764125,-4.040599963416865,0.0439667199168738,0.0805764757657385,CONTINUITY,710,11360.0,213.12998962402344,223.49865757042247,4.169000564527372,False,False,False,False,1.0,2011-06-28 05:00:00,0.2731278726985309,0.077318181767735,1.0,9.337941716569905,6.566672429803241,-0.15033725,0.07588474,0.2731278726985309,0.077318181767735,-60.24933719668186,-3.9647152263424896,-59.82587207494272,-3.9632817816491297,0.42346512173913453,0.0014334446933598477,0.42346512173913453,0.0014334446933598477
0986c625-d8e4-46d4-9f76-bceea7410f4a,2011-06-28 04:00:00,2011-06-28 05:00:00,-60.09899994764125,-4.040599963416865,-59.82587207494272,-3.9632817816491297,0.2731278726985309,0.077318181767735,CONTINUITY,259,4144.0,206.9499969482422,225.02197454150576,4.661307735281561,False,False,False,False,1.0,2011-06-28 06:00:00,-0.0121671746466063,-0.2801345362522349,1.0,8.329658067569396,5.560681631015528,-0.033083484,0.05899014,-0.0121671746466063,-0.2801345362522349,-59.8589555585195,-3.904291642134922,-59.83803924958933,-4.243416317901365,0.020916308930168298,-0.33912467576644273,0.020916308930168298,0.33912467576644273
0c735113-5740-4a2b-8e7d-98bc03f7f0d3,2011-06-27 14:00:00,2011-06-27 15:00:00,-63.87144906876862,-3.131323670958472,-64.03028604122282,-3.098549345914277,-0.1588369724542033,0.0327743250441954,CONTINUITY,431,6896.0,209.75999450683597,219.17785672853827,4.998803394687497,False,False,False,False,1.0,2011-06-27 16:00:00,-0.1085845710085919,0.0808247822352283,1.0,8.83884181343129,6.068425588244111,-0.16273612,0.015952656,-0.1085845710085919,0.0808247822352283,-64.19302215906264,-3.082596689868721,-64.13887061223141,-3.0177245636790486,0.05415154683122134,0.06487212618967224,0.05415154683122134,0.06487212618967224
0c735113-5740-4a2b-8e7d-98bc03f7f0d3,2011-06-27 15:00:00,2011-06-27 16:00:00,-64.03028604122282,-3.098549345914277,-64.13887061223141,-3.017724563679048,-0.1085845710085919,0.0808247822352283,CONTINUITY,452,7232.0,211.2899932861328,222.07726078539824,4.2104707828786205,False,False,False,False,1.0,2011-06-27 17:00:00,-0.2090596812450229,-0.0027620383265425,1.0,8.886409166849282,6.115892125483034,-0.18838355,0.052071,-0.2090596812450229,-0.0027620383265425,-64.32725416168324,-2.965653562298366,-64.34793029347644,-3.0204866020055907,-0.020676131793194885,-0.054833039707224494,0.020676131793194885,0.054833039707224494
0f057757-8ddd-4ff9-bfb3-39987a202824,2011-06-29 03:00:00,2011-06-29 04:00:00,-59.934149490388414,2.3512778171716104,-60.193786748500926,2.3273449465204017,-0.2596372581125123,-0.0239328706512087,CONTINUITY,298,4768.0,215.25999450683597,222.66731333892616,3.5305924199226637,False,False,False,False,1.0,2011-06-29 05:00:00,-0.2732670144569056,-0.0343961603044582,1.0,8.469891918298224,5.700443573390686,-0.2739169,0.015882457,-0.2732670144569056,-0.0343961603044582,-60.467703648658855,2.3432274031955735,-60.46705376295783,2.2929487862159434,0.0006498857010228676,-0.05027861697963005,0.0006498857010228676,0.05027861697963005
0f057757-8ddd-4ff9-bfb3-39987a202824,2011-06-29 04:00:00,2011-06-29 05:00:00,-60.193786748500926,2.3273449465204017,-60.46705376295783,2.2929487862159434,-0.2732670144569056,-0.0343961603044582,CONTINUITY,331,5296.0,215.6100006103516,223.61749433534743,2.865742699638194,False,False,False,False,1.0,2011-06-29 06:00:00,-0.1628230140015105,-0.063872627237389,1.0,8.574895901544526,5.805134968916488,-0.28853348,0.01675777,-0.1628230140015105,-0.063872627237389,-60.75558724193313,2.3097065557260934,-60.62987677695934,2.2290761589785544,0.12571046497378552,-0.08063039674753895,0.12571046497378552,0.08063039674753895
14bf465a-26d9-4186-bb12-db28efd4dd3e,2011-06-29 00:00:00,2011-06-29 01:00:00,-59.16576492808016,-1.866116181490943,-59.39936495887858,-1.9048760389448496,-0.2336000307984207,-0.0387598574539067,CONTINUITY,2292,36672.0,200.2899932861328,217.03183627835952,6.876363562706442,False,False,False,False,1.0,2011-06-29 02:00:00,-0.2045785598005522,0.0897175745210625,1.0,10.509796068463531,7.737616282857904,-0.26484525,-0.020529514,-0.2045785598005522,0.0897175745210625,-59.66421021091563,-1.9254055531234833,-59.60394351867913,-1.815158464423787,0.06026669223649614,0.11024708869969618,0.06026669223649614,0.11024708869969618
14bf465a-26d9-4186-bb12-db28efd4dd3e,2011-06-29 01:00:00,2011-06-29 02:00:00,-59.39936495887858,-1.9048760389448496,-59.60394351867913,-1.8151584644237877,-0.2045785598005522,0.0897175745210625,CONTINUITY,2207,35312.0,201.239990234375,218.1802928183054,7.057891119818364,False,False,False,False,1.0,2011-06-29 03:00:00,-0.0716907342394534,0.018993087055404,1.0,10.47200644708059,7.699842407396986,-0.2643091,0.04877046,-0.0716907342394534,0.018993087055404,-59.868252626936425,-1.7663880031923176,-59.675634252918584,-1.7961653773683837,0.19261837401784032,-0.02977737417606611,0.19261837401784032,0.02977737417606611
19f93652-cb52-4c7d-b549-03a34f76d7c3,2011-06-27 02:00:00,2011-06-27 03:00:00,-66.88447331852677,-2.9789688631769864,-67.06480933874052,-2.989440672963399,-0.180336020213744,-0.0104718097864124,CONTINUITY,352,5632.0,207.3600006103516,217.3639248934659,5.531779696257704,False,False,False,False,1.0,2011-06-27 04:00:00,-0.3119370067260689,0.0735879994401655,1.0,8.636397438894713,5.8664680569332965,-0.12803088,-0.022001369,-0.3119370067260689,0.0735879994401655,-67.19284022002618,-3.0114420418883743,-67.37674634546659,-2.9158526735232333,-0.18390612544040147,0.0955893683651409,0.18390612544040147,0.0955893683651409
1c346860-6f96-4f62-9a7a-44572b885169,2011-06-27 06:00:00,2011-06-27 07:00:00,-55.46589597122736,3.5203095162677043,-55.66664655549835,3.376978915502191,-0.2007505842709989,-0.143330600765513,CONTINUITY,801,12816.0,200.2899932861328,216.3538155430712,6.927667435858704,False,False,False,False,1.0,2011-06-27 08:00:00,-0.0628704367766559,-0.0790603902584372,1.0,9.458527693729824,6.687108607866515,-0.24502596,-0.07725826,-0.0628704367766559,-0.0790603902584372,-55.911672518089524,3.2997206564441925,-55.72951699227501,3.297918525243754,0.18215552581451538,-0.0018021312004385392,0.18215552581451538,0.0018021312004385392
1c346860-6f96-4f62-9a7a-44572b885169,2011-06-27 07:00:00,2011-06-27 08:00:00,-55.66664655549835,3.376978915502191,-55.72951699227501,3.297918525243754,-0.0628704367766559,-0.0790603902584372,CONTINUITY,940,15040.0,204.83999633789065,216.9349734042553,5.804729584158728,False,False,False,False,1.0,2011-06-27 09:00:00,-0.1209629398496474,-0.1246253132835257,1.0,9.618535084655214,6.846943139585379,-0.20295352,-0.028787663,-0.1209629398496474,-0.1246253132835257,-55.93247050971199,3.269130862037296,-55.85047993212466,3.173293211960228,0.0819905775873338,-0.09583765007706761,0.0819905775873338,0.09583765007706761
1c346860-6f96-4f62-9a7a-44572b885169,2011-06-27 08:00:00,2011-06-27 09:00:00,-55.72951699227501,3.297918525243754,-55.85047993212466,3.173293211960228,-0.1209629398496474,-0.1246253132835257,CONTINUITY,1091,17456.0,208.5800018310547,218.82218148487627,4.798036523505475,False,False,False,False,1.0,2011-06-27 10:00:00,-0.6050750125935451,-0.5390411596488756,1.0,9.76749599332478,6.9957661563048505,-0.216429,-0.039902486,-0.6050750125935451,-0.5390411596488756,-56.0669089272571,3.1333907260531504,-56.4555549447182,2.6342520523113526,-0.38864601746109884,-0.49913867374179777,0.38864601746109884,0.49913867374179777
1cb55782-39aa-48ad-8fa8-f95b821e99fd,2011-06-25 00:00:00,2011-06-25 01:00:00,-52.38251423157524,-1.246305653618211,-52.78792960166559,-1.2024047892101069,-0.4054153700903526,0.0439008644081044,CONTINUITY,419,6704.0,206.9499969482422,220.16309292959428,5.51404595815823,False,False,False,False,1.0,2011-06-25 02:00:00,-0.3484959184544109,-0.0239000150082304,1.0,8.81060879571578,6.040254711277414,-0.29335037,0.053132083,-0.3484959184544109,-0.0239000150082304,-53.08127997040376,-1.1492727059431334,-53.13642552012,-1.2263048042183373,-0.055145549716236475,-0.0770320982752039,0.055145549716236475,0.0770320982752039
1e961e2a-58dd-4755-a603-b8236857f34e,2011-06-27 03:00:00,2011-06-27 04:00:00,-65.10474909581811,-5.878552574022958,-65.38570558460924,-5.778989968868904,-0.2809564887911335,0.0995626051540545,CONTINUITY,295,4720.0,206.9499969482422,218.91602224576272,5.4340932292811335,False,False,False,False,1.0,2011-06-27 05:00:00,-0.76299823703107,0.2812687941983833,1.0,8.459775920546287,5.69035945432406,-0.16365132,0.036676098,-0.76299823703107,0.2812687941983833,-65.54935690196726,-5.742313871207648,-66.14870382164031,-5.497721174670521,-0.599346919673053,0.2445926965371265,0.599346919673053,0.2445926965371265
