id_busca,nome,hidden_layers,dropout,learning_rate,batch_size,patience,rmse_medio_mean,rmse_medio_std,rmse_lon_mean,rmse_lon_std,rmse_lat_mean,rmse_lat_std,mae_medio_mean,mae_medio_std,best_epoch_mean
6,2camadas_128-64_drop0.3_lr0.0005_batch64,"[128, 64]",0.3,0.0005,64,20,0.16295857339531045,0.020586595609801764,0.17379081547397002,0.022370956856912094,0.15212633131665093,0.024580909827041635,0.11736358364807838,0.013216501326081587,33.75
12,2camadas_32-32_drop0.2_lr0.002_batch32,"[32, 32]",0.2,0.002,32,20,0.16326995314927484,0.020685684707728896,0.17488104429779955,0.024835757280147093,0.15165886200075016,0.025518519070358903,0.11725610690495228,0.01339963458802344,17.5
3,2camadas_128-64_drop0.0_lr0.002_batch64,"[128, 64]",0.0,0.002,64,10,0.16357507043687633,0.021076541873973426,0.174829044656595,0.023044664562195314,0.15232109621715767,0.026226025094389375,0.11800821836772618,0.013974442872952183,4.25
18,2camadas_32-16_drop0.3_lr0.001_batch64,"[32, 16]",0.3,0.001,64,20,0.1635977987683206,0.019789428276314056,0.17637295069636794,0.02507250489826783,0.15082264684027324,0.023721133763776082,0.11748322816170897,0.012794381364071485,50.75
16,2camadas_32-16_drop0.2_lr0.002_batch128,"[32, 16]",0.2,0.002,128,20,0.1639660417011981,0.020247173356088145,0.17582673966812015,0.022354846363101186,0.1521053437342761,0.02483672539052838,0.11837915002700808,0.014173801293798891,28.5
5,2camadas_64-64_drop0.0_lr0.002_batch32,"[64, 64]",0.0,0.002,32,20,0.16399744116985077,0.02203273952450145,0.17609395685716528,0.024615404107852838,0.15190092548253623,0.02662078677803881,0.1178826935036634,0.015731038419030365,5.75
1,2camadas_128-64_drop0.0_lr0.0005_batch128,"[128, 64]",0.0,0.0005,128,15,0.1642714797744259,0.021300183465846875,0.1759354306295175,0.023788309145365373,0.1526075289193343,0.025851316876743063,0.11806830800424534,0.014228110753006685,21.25
8,2camadas_32-32_drop0.2_lr0.0005_batch32,"[32, 32]",0.2,0.0005,32,15,0.1643090268375453,0.020058509199755138,0.17804886709566767,0.023193112753531447,0.15056918657942295,0.025007613780748054,0.11821427120527184,0.013753008787661395,34.75
2,2camadas_32-16_drop0.1_lr0.0005_batch128,"[32, 16]",0.1,0.0005,128,10,0.16433875095463948,0.021376430446587515,0.17568800292190562,0.023858904287554775,0.15298949898737335,0.025957167220608222,0.11892054446739868,0.013501455393534466,63.75
4,2camadas_16-16_drop0.0_lr0.0005_batch32,"[16, 16]",0.0,0.0005,32,20,0.16456989297016655,0.02090760236400869,0.17584531058105102,0.024192553165214993,0.1532944753592821,0.02690953117920188,0.11890156899611815,0.014138981684483704,55.0
19,2camadas_128-64_drop0.1_lr0.002_batch64,"[128, 64]",0.1,0.002,64,10,0.16465085223117965,0.020933585185070283,0.17630955958149275,0.023457849977288007,0.15299214488086654,0.026179046190140578,0.11892253265416317,0.014793677011759373,8.5
15,2camadas_64-32_drop0.2_lr0.0005_batch64,"[64, 32]",0.2,0.0005,64,15,0.1648513735454276,0.02063230499718564,0.17686806093627913,0.024071611848614952,0.15283468615457604,0.024873506378282634,0.1185177921997923,0.013967270155057738,29.75
14,2camadas_16-16_drop0.1_lr0.0005_batch64,"[16, 16]",0.1,0.0005,64,15,0.16497503827988938,0.019999154733205914,0.17742158467593971,0.023967216652223386,0.152528491883839,0.025786236118691713,0.11873732608249438,0.012985520169320176,90.25
17,2camadas_16-16_drop0.1_lr0.002_batch128,"[16, 16]",0.1,0.002,128,10,0.16510200806680353,0.02021067771984551,0.17732786601214737,0.02328501924519913,0.1528761501214597,0.024083915824155117,0.11858858708598699,0.012548461391882348,32.75
13,2camadas_16-16_drop0.0_lr0.002_batch32,"[16, 16]",0.0,0.002,32,15,0.16521533893991483,0.0209475402314311,0.17738102874263584,0.02623975233988529,0.15304964913719382,0.025999435634127606,0.11892455206638462,0.014203183769187576,14.75
10,2camadas_32-32_drop0.2_lr0.0005_batch128,"[32, 32]",0.2,0.0005,128,15,0.16526077374234538,0.0201434210082853,0.17650904029313533,0.023570042217342817,0.15401250719155543,0.02520139773987109,0.11917705743438868,0.012618756897003916,62.5
9,2camadas_16-16_drop0.0_lr0.001_batch32,"[16, 16]",0.0,0.001,32,15,0.16536022568461242,0.018826605319749775,0.17923585216787413,0.019859925419009678,0.1514845992013507,0.02645044039255642,0.1194898553356573,0.012544311410907102,21.75
11,2camadas_64-64_drop0.0_lr0.001_batch32,"[64, 64]",0.0,0.001,32,20,0.16546217979480168,0.02203323562279644,0.17607833024662156,0.02461400825694782,0.1548460293429818,0.02590690707969084,0.11917845580035585,0.014055978487576956,8.5
7,2camadas_32-32_drop0.0_lr0.0005_batch128,"[32, 32]",0.0,0.0005,128,15,0.16602878043278613,0.021930611742677956,0.17736383556351423,0.023976323008529355,0.154693725302058,0.025913997838527967,0.11919333913233865,0.014048836772520255,57.75
20,2camadas_32-16_drop0.0_lr0.001_batch64,"[32, 16]",0.0,0.001,64,15,0.16638090810695405,0.021939446287994588,0.17749451239234743,0.023243651590557853,0.15526730382156065,0.02680233027062792,0.12096416179495946,0.014770089706739797,17.5
